category,event,name,market,date,bets,arbitrage,profit
European Football,Europa League Matches,FK Qarabag v Braga,Win Market,2024-02-22T17:45:00Z,"[{'name': 'Braga', 'bookmakers': ['KN', 'DP'], 'odd': 2.3}, {'name': 'FK Qarabag', 'bookmakers': ['BY'], 'odd': 3.25}, {'name': 'Draw', 'bookmakers': ['FR'], 'odd': 4}]",True,0.7582139848357095
International Football,Euro 2024 Matches,Serbia v England,Win Market,2024-06-16T19:00:00Z,"[{'name': 'England', 'bookmakers': ['SK'], 'odd': 1.7272727}, {'name': 'Draw', 'bookmakers': ['N4'], 'odd': 4.1}, {'name': 'Serbia', 'bookmakers': ['B3'], 'odd': 5.75}]",True,0.3247653042380616
International Football,Euro 2024 Matches,Austria v France,Win Market,2024-06-17T19:00:00Z,"[{'name': 'France', 'bookmakers': ['SK'], 'odd': 1.55}, {'name': 'Draw', 'bookmakers': ['KN', 'UN', 'DP'], 'odd': 4.75}, {'name': 'Austria', 'bookmakers': ['B3'], 'odd': 8}]",True,1.9692707206232507
International Football,Euro 2024 Matches,Portugal v Czech Republic,Win Market,2024-06-18T19:00:00Z,"[{'name': 'Portugal', 'bookmakers': ['SK'], 'odd': 1.7}, {'name': 'Draw', 'bookmakers': ['WA'], 'odd': 4.2}, {'name': 'Czech Republic', 'bookmakers': ['B3'], 'odd': 7}]",True,3.1791907514451045
International Football,UEFA Euro 2024 Qualifiers Matches,Poland v Estonia,Both Teams To Score,2024-03-21T19:45:00Z,"[{'name': 'No', 'bookmakers': ['CE'], 'odd': 1.5}, {'name': 'Yes', 'bookmakers': ['QN', 'G5'], 'odd': 3.1}]",True,1.0869565217391353
International Football,UEFA Euro 2024 Qualifiers Matches,Greece v Kazakhstan,Draw No Bet,2024-03-21T19:45:00Z,"[{'name': 'Greece', 'bookmakers': ['CE'], 'odd': 1.18}, {'name': 'Kazakhstan', 'bookmakers': ['PP', 'FB'], 'odd': 7.5}]",True,1.9585253456221086
UK Football,English Conference National Matches,Bromley v Chesterfield,Draw No Bet,2024-02-17T15:00:00Z,"[{'name': 'Chesterfield', 'bookmakers': ['FR'], 'odd': 1.29}, {'name': 'Bromley', 'bookmakers': ['FB'], 'odd': 4.5}]",True,0.2590673575129543
UK Football,English Conference National Matches,York City v Dagenham and Redbridge,Draw No Bet,2024-02-17T15:00:00Z,"[{'name': 'Dag/Red', 'bookmakers': ['KN', 'UN', 'DP'], 'odd': 1.87}, {'name': 'York City', 'bookmakers': ['B3', 'WA'], 'odd': 2.2}]",True,1.0810810810810922
UK Football,Scottish League 1 Matches,Edinburgh City v Queen of South,Both Teams To Score,2024-02-17T15:00:00Z,"[{'name': 'No', 'bookmakers': ['KN', 'SX', 'SI', 'UN', 'DP'], 'odd': 1.73}, {'name': 'Yes', 'bookmakers': ['B3'], 'odd': 2.375}]",True,0.09135200974421664
UK Football,Scottish League 2 Matches,Forfar v Peterhead,Draw No Bet,2024-02-17T15:00:00Z,"[{'name': 'Forfar', 'bookmakers': ['KN', 'UN', 'DP'], 'odd': 1.86}, {'name': 'Peterhead', 'bookmakers': ['SK'], 'odd': 2.2}]",True,0.7881773399014858
European Football,Portuguese Super Liga Matches,Benfica v Vizela,Both Teams To Score,2024-02-18T18:00:00Z,"[{'name': 'Yes', 'bookmakers': ['WA'], 'odd': 2.38}]",True,138.0
European Football,Polish Ekstraklasa Matches,Rakow v Piast Gliwice,Draw No Bet,2024-02-17T19:00:00Z,"[{'name': 'Rakow', 'bookmakers': ['QN', 'G5'], 'odd': 1.4}, {'name': 'Piast Gliwice', 'bookmakers': ['KN', 'UN', 'DP'], 'odd': 3.6}]",True,0.8000000000000007
ROTW Football,Argentine Copa de la Liga Matches,Racing Club v Godoy Cruz,Draw No Bet,2024-02-17T22:00:00Z,"[{'name': 'Racing Club', 'bookmakers': ['CE', 'LD', 'QN', 'G5'], 'odd': 1.44}, {'name': 'Godoy Cruz', 'bookmakers': ['KN', 'UN', 'DP'], 'odd': 3.35}]",True,0.7098121085594933
ROTW Football,Colombia Primera A Matches,Boyaca Chico v Alianza Petrolera,Both Teams To Score,2024-02-19T21:00:00Z,"[{'name': 'No', 'bookmakers': ['FB'], 'odd': 1.8695652}, {'name': 'Yes', 'bookmakers': ['KN', 'UN', 'DP'], 'odd': 2.17}]",True,0.4305236613088903
European Football,Israeli Premier League Matches,Hapoel Beer Sheva v Maccabi Petach Tikva,Draw No Bet,2024-02-17T15:30:00Z,"[{'name': 'Hapoel Beer Sheva', 'bookmakers': ['B3'], 'odd': 1.182}, {'name': 'Maccabi Petach Tikva', 'bookmakers': ['KN', 'UN', 'DP'], 'odd': 6.75}]",True,0.5862329803328237
,